SpeedMetersPerSecond,Location_Longitude,HeadingDegrees,VehicleId,Location_Latitude,ReportTimeDate
11,-88.07865,284,G 14,41.89388,2/4/2021 19:43
2,-87.97983,84,G 13,41.98102,2/4/2021 19:44
1,-87.97987,358,G 13,41.98137,2/4/2021 19:44
11,-88.08318,282,G 14,41.89478,2/4/2021 19:44
11,-88.08592,282,G 14,41.89527,2/4/2021 19:44
7,-87.97988,354,G 13,41.98268,2/4/2021 19:45
1,-87.97993,250,G 13,41.98603,2/4/2021 19:45
10,-88.09137,280,G 14,41.89608,2/4/2021 19:45
10,-88.09378,280,G 14,41.8964,2/4/2021 19:45
6,-87.98003,184,G 13,41.98545,2/4/2021 19:46
5,-87.98018,180,G 13,41.98413,2/4/2021 19:46
6,-88.09855,278,G 14,41.89707,2/4/2021 19:46
7,-88.1001,280,G 14,41.89732,2/4/2021 19:46
13,-87.9798,176,G 13,41.97817,2/4/2021 19:47
13,-87.9798,176,G 13,41.97817,2/4/2021 19:47
0,-88.10165,282,G 14,41.89748,2/4/2021 19:47
1,-88.10167,276,G 14,41.8975,2/4/2021 19:47
13,-87.97953,170,G 13,41.97367,2/4/2021 19:48
1,-87.97897,158,G 13,41.97148,2/4/2021 19:48
11,-88.10385,274,G 14,41.89765,2/4/2021 19:48
11,-88.10972,278,G 14,41.89805,2/4/2021 19:48
11,-87.97885,180,G 13,41.96927,2/4/2021 19:49
11,-87.97888,180,G 13,41.96563,2/4/2021 19:49
13,-88.11265,278,G 14,41.89837,2/4/2021 19:49
10,-88.11857,266,G 14,41.8981,2/4/2021 19:49
1,-87.97892,178,G 13,41.96373,2/4/2021 19:50
10,-87.9789,178,G 13,41.96237,2/4/2021 19:50
0,-88.12038,276,G 14,41.89822,2/4/2021 19:50
1,-88.12038,276,G 14,41.89822,2/4/2021 19:50
10,-87.97887,178,G 13,41.96042,2/4/2021 19:51
0,-87.9789,184,G 13,41.95682,2/4/2021 19:51
8,-88.12043,98,G 14,41.89818,2/4/2021 19:51
12,-88.1158,80,G 14,41.89852,2/4/2021 19:51
1,-87.97873,324,G 13,41.95688,2/4/2021 19:52
13,-88.11197,98,G 14,41.89823,2/4/2021 19:52
13,-88.10867,98,G 14,41.89785,2/4/2021 19:52
10,-87.97882,0,G 13,41.96183,2/4/2021 19:53
10,-87.97882,0,G 13,41.96183,2/4/2021 19:53
5,-87.9788,0,G 13,41.96342,2/4/2021 19:53
0,-88.1023,94,G 14,41.89752,2/4/2021 19:53
11,-88.10008,98,G 14,41.89723,2/4/2021 19:53
1,-87.97893,158,G 13,41.96517,2/4/2021 19:54
5,-87.97893,188,G 13,41.96488,2/4/2021 19:54
14,-88.0971,98,G 14,41.89682,2/4/2021 19:54
14,-88.09053,98,G 14,41.8959,2/4/2021 19:54
3,-87.97907,222,G 13,41.96362,2/4/2021 19:55
14,-88.08718,100,G 14,41.89537,2/4/2021 19:55
