OID_,latitude,longitude,location,speed_mph,name,timestamp
5964,43.01580406,-76.15991543,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:22:12
5965,43.02707703,-76.17489631,"2023 South Geddes Street, Syracuse, NY, 13207",3,SW 2,2/5/2022 13:22:15
5966,43.06498906,-76.15662672,"307 Kirkpatrick Street, Syracuse, NY, 13208",3,SW 5,2/5/2022 13:22:16
5967,43.01580217,-76.1599207,"318 Valley Drive, Syracuse, NY, 13207",5,SW 1,2/5/2022 13:22:18
5968,43.03026953,-76.15866596,"806 South Avenue, Syracuse, NY, 13207",7,SW 3,2/5/2022 13:22:20
5969,43.01582086,-76.15991708,"318 Valley Drive, Syracuse, NY, 13207",3,SW 1,2/5/2022 13:22:23
5970,43.06483663,-76.15651257,"2199 Lodi Street, Syracuse, NY, 13208",3,SW 5,2/5/2022 13:22:23
5971,43.02701112,-76.17489064,"2023 South Geddes Street, Syracuse, NY, 13207",0,SW 2,2/5/2022 13:22:25
5972,43.06477065,-76.1564867,"2199 Lodi Street, Syracuse, NY, 13208",3,SW 5,2/5/2022 13:22:28
5973,43.02697905,-76.17489237,"2027 South Geddes Street, Syracuse, NY, 13207",2,SW 2,2/5/2022 13:22:30
5974,43.03051615,-76.15873388,"617 Martin Luther King West, Syracuse, NY, 13205",1,SW 3,2/5/2022 13:22:30
5975,43.01579994,-76.15990692,"318 Valley Drive, Syracuse, NY, 13207",5,SW 1,2/5/2022 13:22:30
5976,43.06471729,-76.15644654,"953 North Salina Street, Syracuse, NY, 13208",3,SW 5,2/5/2022 13:22:33
5977,43.02691828,-76.17489549,"2027 South Geddes Street, Syracuse, NY, 13207",3,SW 2,2/5/2022 13:22:35
5978,43.03052528,-76.15873804,"806 South Avenue, Syracuse, NY, 13207",0,SW 3,2/5/2022 13:22:36
5979,43.01583806,-76.15991783,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:22:36
5980,43.06461148,-76.15631868,"953 North Salina Street, Syracuse, NY, 13208",5,SW 5,2/5/2022 13:22:39
